rank,grade,name,handle,channel_id,subscribers,subscribers_num,views,views_num,videos,videos_num,image_url
11th,C+,Lama Faché,/youtube/channel/UCH0XvUpYcxn4V0iZGnZXMnQ,UCH0XvUpYcxn4V0iZGnZXMnQ,9.82M,9820000,2.46B,2460000000,2.54K,2540,https://yt3.ggpht.com/tO2SmACkrez8fApa0d1Qek2XeOKAwRym9X2Lo6itLKiDEIR3hQAlfpXzIRRyCpad4Ud58SzN=s88-c-k-c0x00ffffff-no-rj
12th,B+,PSG - Paris Saint-Germain,/youtube/handle/psg,UCt9a_qP9CqHCNwilf-iULag,9.78M,9780000,1.47B,1470000000,8.28K,8280,https://yt3.ggpht.com/ne9x79Ss_sp79LXJHOEyJ5Y0UtFRT1rl7XoPsE0o5MrXy5z1_BohaoOFE-lfqMH-FNBXFvMz=s88-c-k-c0x00ffffff-no-rj
13th,A,Kidi Fun,/youtube/handle/kidifun,UCKG_7KqdGT4YceIh-lCfNUA,9.66M,9660000,16.72B,16719999999,447,447,https://yt3.ggpht.com/I569NwhnXQgLT9ekDWlzancn8HSXp2MhEQzHW3EdpHsh1gNSGviwgvE4xyWmj6xdfT2NEAcStQ=s88-c-k-c0x00ffffff-no-rj
14th,B-,Inoxtag,/youtube/handle/inoxtag,UCL9aTJb0ur4sovxcppAopEw,9.29M,9290000,1.38B,1380000000,446,446,https://yt3.ggpht.com/ytc/AIdro_nBv_ScBglsYmGLCeX8gG5E7_rC-p9M0I4hQAcEMaHjJa4=s88-c-k-c0x00ffffff-no-rj
15th,B+,Amixem,/youtube/handle/amixem,UCgvqvBoSHB1ctlyyhoHrGwQ,9.13M,9130000,3.96B,3960000000,1.2K,1200,https://yt3.ggpht.com/mkxR4YNTUBJAjuq020488wM8yHSCZ4Kwn0etJyYyGTL86LnEiIzu5uhw8EwmPpRxavKYXyQ4Hmk=s88-c-k-c0x00ffffff-no-rj
16th,C-,L'Algerino,/youtube/handle/lalgerinoofficiel,UCp8Lmjx1i93YVokA4fNAs1g,8.61M,8610000,3.05B,3050000000,123,123,https://yt3.ggpht.com/45hhpO_o_3R5T7iM-LKVXAEOQBZ_OrcL8SR0rV5mn6XMXuUjq4BEPLnS6RkO2k7oBevOuvWjDUY=s88-c-k-c0x00ffffff-no-rj
17th,B+,Bridon Production LLC (Seany Tv),/youtube/handle/emizickovic,UCpCLsVt-9LhvDKvEzE7Kw7A,8.55M,8550000,4.11B,4110000000,1.08K,1080,https://yt3.ggpht.com/ytc/AIdro_my_0LTBq1hQg6ZnBka4M8krBnztfX0sXqXKbtCpvUQpM0=s88-c-k-c0x00ffffff-no-rj
18th,B-,قناة الشيخ كشك,/youtube/handle/kichk1933,UCrZ3UtzbXNYVl4r2a0xJGxQ,8.45M,8450000,1.81B,1810000000,4.4K,4400,https://yt3.ggpht.com/ytc/AIdro_l6wfcXY6NK49Mc4BVZiybGGMsDaUzp4BPqNKjdPrFYaWk=s88-c-k-c0x00ffffff-no-rj
19th,B+,Cinéma Cinémas,/youtube/handle/cinemacinemas,UCQIrvVPHrt2cN14ktGA2Snw,8.42M,8420000,1.55B,1550000000,1.97K,1970,https://yt3.ggpht.com/Wf_uoQj3loj4u3gOb3oXm5IsWmj2Y_s2Ay8RpaC9r-_nthkgCCyrFH09pYhDqo9WB3iUQi4xDP0=s88-c-k-c0x00ffffff-no-rj
20th,B,Van,/youtube/handle/vantoan_,UCNd6r-erSAM_-IjOYn0rVtQ,8.32M,8320000,2.4B,2400000000,263,263,https://yt3.ggpht.com/6ybYRvSYhd1GRGIzGM02URuZVstg1YWDxom-1c4tcw-honDF8HBuwDMolzn8tpdsvaeb3QQ2tQ=s88-c-k-c0x00ffffff-no-rj
21st,B+,FRANCE 24,/youtube/handle/france24,UCCCPCZNChQdGa9EkATeye4g,8.22M,8220000,3.92B,3920000000,136.42K,136420,https://yt3.ggpht.com/ytc/AIdro_k9aU_SRhYAWJjQ6AO7uzQDZE5mb7gmv4synLrC7hEWGjE=s88-c-k-c0x00ffffff-no-rj
22nd,B+,Aya Nakamura,/youtube/handle/ayanakamura,UC-69vhXlCa3XHbF8JHCQHfg,8.16M,8160000,4.43B,4430000000,67,67,https://yt3.ggpht.com/7rNTZjBuDujyCK1W64qAnDeiBroNMguV-kfYqUhayUDnQkMCwRqT-gJJ-KHtKMEd3JWx0fxhHQ=s88-c-k-c0x00ffffff-no-rj
23rd,C-,DADJU,/youtube/handle/dadju,UC8HMvOLE0etpO_eVjJ98bHA,7.71M,7710000,3.83B,3830000000,149,149,https://yt3.ggpht.com/5QrcQCkzITdMsS_DspPUactbVY4zOipPffI4G12AK6fQt72DIS2UkdIYh5eK3pOfhtaM6eGIvQ=s88-c-k-c0x00ffffff-no-rj
24th,B+,Mcfly et Carlito,/youtube/handle/lefatshow,UCDPK_MTu3uTUFJXRVcTJcEw,7.58M,7580000,2.81B,2810000000,892,892,https://yt3.ggpht.com/ytc/AIdro_kSPG3h89eFoHhkLFYl_VQ6OkFpLCfpZUSuIWkRJt0sI-E=s88-c-k-c0x00ffffff-no-rj
25th,B+,DORETDEPLATINE,/youtube/handle/julsaintjean,UC-GI5LST5T3Gw93yZxjdFaw,7.56M,7560000,5.69B,5690000000,359,359,https://yt3.ggpht.com/Z-H-0aiYvvidI9bHpoVAWppA_0Au4kRsYHxn0Vgj_bC_icCl8YA8WfDmYG053yTYgZjG-HAcMYo=s88-c-k-c0x00ffffff-no-rj
26th,B,SYMPA,/youtube/handle/sympa_fr,UCt6IQpsggvn6zmalhPglSEA,7.52M,7520000,1.62B,1620000000,10.34K,10340,https://yt3.ggpht.com/ytc/AIdro_nRBNYjJLwvjc7cFIap3QNWngCWlH3EjVbFHuienokJfnI=s88-c-k-c0x00ffffff-no-rj
27th,C+,Rémi GAILLARD,/youtube/handle/nqtv,UCmPSwsooZq8an7xOLQQhAdw,7.4M,7400000,2.02B,2020000000,186,186,https://yt3.ggpht.com/ytc/AIdro_nuUbV1NWHTPA9lI1AZpvmRPEObDMJo6DwHYTEX1NilVWw=s88-c-k-c0x00ffffff-no-rj
28th,B+,SkyrockFM,/youtube/handle/skyrockfm,UC5BYACI8gIm3wDlVnhKFG5A,6.97M,6970000,3.75B,3750000000,11.51K,11510,https://yt3.ggpht.com/ytc/AIdro_ma9aRbkyRtUilcNWTJ37HtHYG51Ir-ZbtE4B0-AoPrvTxf=s88-c-k-c0x00ffffff-no-rj
29th,C-,Swan & Néo,/youtube/handle/swanthevoice,UCzYC9ss2P77Ry2LzIDL5Xsw,6.95M,6950000,8.09B,8090000000,3.4K,3400,https://yt3.ggpht.com/ytc/AIdro_lb76hFbhH9PZ0XW0euU91CkBnzsWNNvah-eNa4KbtaiwY=s88-c-k-c0x00ffffff-no-rj
30th,B+,Mastu,/youtube/handle/mastu,UCAhaFPP6v3WCfK5Tjao0B7A,6.86M,6860000,1.21B,1210000000,347,347,https://yt3.ggpht.com/ytc/AIdro_kcL_PnNz1KEjLIQ7veCTq_0Vv7tktG0oth4M0_NZp8PRw=s88-c-k-c0x00ffffff-no-rj
31st,B+,Julien Cohen,/youtube/handle/julien_cohen,UC899MXB8_df7O5HzedKBzaA,6.8M,6800000,2.45B,2450000000,113,113,https://yt3.ggpht.com/pzhPMl87XxLgOxqJs6LbvSAy0SUKMGFRYUTrDDTWZXtfwfM2m5FzHicv5LugVHKkiQqRq8ZU1g=s88-c-k-c0x00ffffff-no-rj
32nd,B+,JOYCA,/youtube/handle/joyca,UCow2IGnug1l3Xazkrc5jM_Q,6.76M,6760000,1.81B,1810000000,438,438,https://yt3.ggpht.com/F5R-8dCR4OsDu1Rs_2RE20e6LUNFDJW6VemSqToit8XvdfoSj1DXJXb0Dc4aT_YEv-5TsFCF=s88-c-k-c0x00ffffff-no-rj
33rd,B+,FastGoodCuisine,/youtube/handle/fastgoodcuisine,UCKq9JxyISqBHDd-fXfV3QtQ,6.72M,6720000,2.41B,2410000000,1.01K,1010,https://yt3.ggpht.com/gHkSCYBk4J1lJp3C0bmoh3GDtMsUnXNZEX9IUBzL9GElxRITRJK5s8rU3DINZjEuP3vluRhYnqY=s88-c-k-c0x00ffffff-no-rj
34th,B-,أسرار الجمال الطبيعي,/youtube/handle/beauty.secret1,UChq9L7GcpwWIIe2MMxzvi9g,6.48M,6480000,1.17B,1170000000,1.26K,1260,https://yt3.ggpht.com/T2s0sUaBWovedaSITe_99Mn2nh7ufNpdh7GuLMbjBUK-JI98pWtwMLts7vZBHwia1hprT1cysw=s88-c-k-c0x00ffffff-no-rj
35th,B+,Niska Officiel,/youtube/handle/niskaofficiel91,UCtHtVptJ7tDRvbZrTFDrf7A,6.47M,6470000,2.83B,2830000000,116,116,https://yt3.ggpht.com/XWXG7LVpy5Pzi1mgq_4jMsylDKfmQ_O2snmckT0sjwaBjoT6nVR8Zs9S3TwSUBSUuODvv-wYig=s88-c-k-c0x00ffffff-no-rj
36th,C-,PNL,/youtube/handle/pnl,UCtBjt766LG9EDVKZx4Q4IHw,6.46M,6460000,2.85B,2850000000,28,28,https://yt3.ggpht.com/ytc/AIdro_mUZ0Kd0roL7s4tNtd2zdrP7gOyhBvt5Gxw8zg89XD_rQA=s88-c-k-c0x00ffffff-no-rj
37th,C+,Mister V,/youtube/handle/mistervofficial,UC8Q0SLrZLiTj5s4qc9aad-w,6.41M,6410000,529.82M,529820000,41,41,https://yt3.ggpht.com/9waBvH5yP5jTNSGZ-n9Na5ldf3vnzmFOEjv6PUEuCiaRkfffk50GpF6nkDleoapVrR22Uupm8Lc=s88-c-k-c0x00ffffff-no-rj
38th,B+,Sarah Lezito,/youtube/handle/lezitow,UCvlBxzsiVjykUcKW9OxN8kg,6.37M,6370000,3.53B,3530000000,2.34K,2340,https://yt3.ggpht.com/yWsz09KwWiMNhm6WuvdiTt3MZjt0-Ch9V3BII7l5oNyjBmuaPpUuFM61er1KSRGl-EWMgSP2Dvw=s88-c-k-c0x00ffffff-no-rj
39th,B+,Unchained_Off,/youtube/handle/unchainedoff,UCiFyJ_EBmF2XJuR9buWE_3A,6.36M,6360000,3.26B,3260000000,1.53K,1530,https://yt3.ggpht.com/VgrO8CY3XuAseqMs38xAinVk9YUE5JQKoVj1kzX1MJAbUnttoXd1TQ7q8ppWKSvq35m2BMMgQg=s88-c-k-c0x00ffffff-no-rj
40th,B+,Ninho,/youtube/handle/ninho,UCXdHJabqwLJ3NvPfx6XmS5Q,6.09M,6090000,4.45B,4450000000,96,96,https://yt3.ggpht.com/wnH-FYay_UqOuiUWcqCsQG8i-DZlKxlAWJuiJOEdKxQJ_YmN1-fy0Jih553EZpw8BPuk3QcyWdQ=s88-c-k-c0x00ffffff-no-rj
41st,C,Bigorneaux & Coquillages,/youtube/handle/cypriengaming,UCWMYFDuCcvkmPiOf1RP_IKQ,5.97M,5970000,902.26M,902260000,266,266,https://yt3.ggpht.com/ytc/AIdro_nzmEgJOtSmIdLgQFXPALaELhW4rK-4WMt4kw4SwjrNFQ=s88-c-k-c0x00ffffff-no-rj
42nd,C,dimerci tv,/youtube/handle/dimercitv,UCXFrzOlPpbOZOd1KClSWlQw,5.85M,5850000,2.91B,2910000000,2.06K,2060,https://yt3.ggpht.com/ytc/AIdro_nnYC6YbbC0HpHdDrdK6XCy5RNpYfT24n4O_6Ruxqi796I=s88-c-k-c0x00ffffff-no-rj
43rd,B+,ProviSound,/youtube/handle/provisound,UCilzxuKGM1GzYdmOkTiN4SA,5.77M,5770000,3.16B,3160000000,1.64K,1640,https://yt3.ggpht.com/GkH5eoEBXZwDr7OVmQagdcnGssyX_AhD0R-iM9SG8HZZmK7rWbLUKHhsQNFycR50Rji3sikAqA=s88-c-k-c0x00ffffff-no-rj
44th,B-,SEB,/youtube/handle/sebfrit,UCK3inMNRNAVUleEbpDU1k2g,5.76M,5760000,794.7M,794700000,200,200,https://yt3.ggpht.com/izvpXqLdMK6qnVK6kV_hMCkeg84cFZCdZdCmGCWS8SZj1Gl0ABG8_XTlc4yzU6irXclZvwSAXp0=s88-c-k-c0x00ffffff-no-rj
45th,C+,BRICO SYMPA,/youtube/handle/bricosympa,UC9TJezP2M1ADmUYVl8hrQ2A,5.69M,5690000,1.73B,1730000000,7.02K,7020,https://yt3.ggpht.com/YqvUy-PPuNUxQLwX_ijlaX_SzLnuC_bEZl0zQdD7Qkvt05zYvgna9eo-kXXuGU42PpMt8QHSYw=s88-c-k-c0x00ffffff-no-rj
46th,B+,Unchained,/youtube/handle/unchainedytb,UCugeH-Bmo9a5-Jnbt9X-3bA,5.65M,5650000,2.45B,2450000000,933,933,https://yt3.ggpht.com/S1TcdfkvUYf-pZpWoxB1pM34zKWmM7y-oNdVl543ruSVquZMoBSYDDhk6_pWuerdTFuzQgD0=s88-c-k-c0x00ffffff-no-rj
47th,C+,Kevin Tran 陈科伟,/youtube/handle/superkevintran,UCTt2AnK--mnRmICnf-CCcrw,5.62M,5620000,1.33B,1330000000,502,502,https://yt3.ggpht.com/MBxiH8DNeV7jiaqGqWshnuM7CFEakULP0w2R_d34lEHtT5Bj-Vvgj_0bSKu3qmq_DnDlfrhC2W8=s88-c-k-c0x00ffffff-no-rj
48th,B,MichouOff,/youtube/handle/michouoff,UCOdKaYgvLlPuinUJ1z5Gm2g,5.47M,5470000,1.93B,1930000000,1.29K,1290,https://yt3.ggpht.com/gbiCcpx_d_3gCRP0FIqlQmV5tuyk0EggNNKm5THjJmy_TkUuxhzox3ATnOoUe_qXlOqk3mxA4Q=s88-c-k-c0x00ffffff-no-rj
49th,B+,Lartiste,/youtube/handle/lartisteofficiel,UC5Yf3sFdmOGmf3Wn-STnkjg,5.45M,5450000,2.49B,2490000000,101,101,https://yt3.ggpht.com/uSAyxHRZz-Er5gwTqbOwW7p0id2B4ywe6P0tEfNI5slyIXLYvyyK1JP7IJGdpXM4mJW2lHuaOd0=s88-c-k-c0x00ffffff-no-rj
50th,B+,Anas,/youtube/handle/anas54,UCP8A8blIPLuL2kSSrhKJIhg,5.38M,5380000,1.93B,1930000000,1.53K,1530,https://yt3.ggpht.com/irRVaHn86oAVlIWDerqhD6Zu4DQzin1ivySrl2gFvkwPeWYwvQkixhSfN8LMpYmeeib-iNg2ug=s88-c-k-c0x00ffffff-no-rj
51st,B+,Cheb Bilal - الشاب بلال,/youtube/handle/chebbilalofficial,UCVYORSQEsFOQLavrogpFcXA,5.35M,5350000,1.82B,1820000000,337,337,https://yt3.ggpht.com/ytc/AIdro_lQVpqo1_uaXfFZZ-sSJqV5YAG99g8lROxitkAzG0gn4i0=s88-c-k-c0x00ffffff-no-rj
52nd,B-,CYRILmp4,/youtube/handle/cyrilmp4,UC-4M8AN08hw39nn2v91VuMQ,5.19M,5190000,1.34B,1340000000,1.08K,1080,https://yt3.ggpht.com/tk7oHsJutrdeI80Zzf5jvxT3nfwX5ZR4Qx9eguHLDIHYI30mg2nhfNsbQpU9vHUE1MEN8Zcbc30=s88-c-k-c0x00ffffff-no-rj
53rd,C+,Natoo,/youtube/handle/natooyt,UCtihF1ZtlYVzoaj_bKLQZ-Q,5.17M,5170000,938M,938000000,240,240,https://yt3.ggpht.com/ZpHD9MhNPhlayZ4wVNTX2r5ovCCDgsaQabX_PithFmRrctUR0mZroFmqaWweOnIqAhdXYFSn2g=s88-c-k-c0x00ffffff-no-rj
54th,B+,SQUEEZIE GAMING,/youtube/handle/squeeziegaming,UCY-_QmcW09PHAImgVnKxU2g,5.05M,5050000,2.66B,2660000000,1.63K,1630,https://yt3.ggpht.com/ytc/AIdro_l-ESH8m7C40T6fgPcqDsk3Yg_dnV5mcCSJVgm1njvjjDs=s88-c-k-c0x00ffffff-no-rj
55th,B,Hugoposé,/youtube/handle/hugopose,UCByWJsWPztkY3Rta2B62tgg,5.03M,5030000,999.18M,999180000,445,445,https://yt3.ggpht.com/z_s4d0qSImOWy6i39Hw-suNcfxVHhv1BYCJQfjtwfFjwwYqEMu5zptRsl6SnX-Kk32jITYGmEg=s88-c-k-c0x00ffffff-no-rj
56th,C-,Black M,/youtube/handle/black-m-,UCa_m88y-YP42wOdoYaIk6og,4.98M,4980000,2.07B,2069999999,140,140,https://yt3.ggpht.com/FWn_h_pE4u0rVv3f-gWC5FFJEPkaqQWNUjOMs-iuDGULG0LOYl-z46LtT3U96gOCgxntaddxGg=s88-c-k-c0x00ffffff-no-rj
57th,B-,IbraTV,/youtube/handle/tsetchoevibratv,UCmIoN2ICieMp1hX2R_VmYkg,4.96M,4960000,605.87M,605870000,256,256,https://yt3.ggpht.com/ytc/AIdro_mC9bV_sGqBPjGiXlkpmuAIjOLGehRxL2TjDKi70uYiYPs=s88-c-k-c0x00ffffff-no-rj
58th,B+,Mhd Officiel,/youtube/handle/mhdofficiel,UCvebOuGWNvuUpZBzpV_Bc9Q,4.95M,4950000,1.93B,1930000000,35,35,https://yt3.ggpht.com/orh7AUBAJpBoSxnDOkgeNOLMlExqtD1evDR84Kw00phP8jPQ2BCs3tFVYAce2XrhUav782cl=s88-c-k-c0x00ffffff-no-rj
59th,B,Berywam,/youtube/handle/berywam,UCxXFx2jz8N02sNqv1VeDEGA,4.91M,4910000,854.64M,854640000,402,402,https://yt3.ggpht.com/Xj_DszTdlxFR5lO7lT-HmTCR1NJ9gso60PXE9fD4MlcvqUlKYKzOf4VCVG49AXUNWs32n_7SfQ=s88-c-k-c0x00ffffff-no-rj
60th,C+,Dr Nozman,/youtube/handle/drnozman,UCWnfDPdZw6A23UtuBpYBbAg,4.9M,4900000,1.18B,1180000000,915,915,https://yt3.ggpht.com/ytc/AIdro_kP-ty6rj41GP6Sddyux8oU5DJu9DLc9feo1bQq27az7XQ=s88-c-k-c0x00ffffff-no-rj
